scene,budget,dataset,n,n_methods,fvs_baseline,fvs_plucker,fvs_angular,fvs_euclidean,alexnet_entropy,alexnet_dist,dinov2_dist,clip_dist
horns,20,llff,168,4,-0.250452586676674,-0.30717821153233693,-0.12490714088620532,-0.250452586676674,-0.14059708140776775,-0.5715431898505423,-0.5341760106005334,0.06157276711282762
horns,25,llff,148,4,-0.2261496539230608,-0.2541101131918484,-0.06370644821683316,-0.2261496539230608,-0.030499339224171442,-0.449693508448709,-0.31041121595930643,0.09201462049583127
leaves,10,llff,176,11,-0.3056975081839658,-0.34567186454862864,-0.3182158083990233,-0.3056975081839658,-0.43234128773078573,-0.1337105289707955,-0.3408948242164774,-0.3512859472050721
leaves,15,llff,44,4,-0.28326479662352144,-0.39623153217123674,-0.07445577501916685,-0.28326479662352144,-0.3837914023960535,-0.001763731697565832,-0.04908322800226041,-0.027580868147064556
leaves,20,llff,24,4,-0.09134741022229959,0.06250085962578392,-0.05600637765182859,-0.09134741022229959,-0.21739130434782608,-0.011336430964882177,0.08559033571769946,-0.0685295554173901
orchids,10,llff,165,11,-0.3966169092753933,-0.38449455632198776,-0.459021738717526,-0.3966169092753933,-0.08444977285523392,-0.117282050007301,-0.3620868399237448,-0.21661320723107794
orchids,15,llff,40,4,-0.3353855559187048,-0.2966831155481784,-0.3323001256187389,-0.3353855559187048,-0.1609756097560976,-0.1212036249417585,-0.47833254856970425,-0.2593586549419619
orchids,20,llff,20,4,-0.07555814584513336,-0.028712095421150677,-0.19177213282960714,-0.07555814584513336,-0.22857142857142856,-0.233209207618639,-0.48640982844138403,-0.24114605708614228
room,10,llff,341,11,-0.4980240663425538,-0.4729699406031243,-0.6066977728891207,-0.4980240663425538,-0.04433902593295383,-0.3404247764160551,-0.4988103867476404,-0.45028527123845224
room,15,llff,104,4,-0.3386039630796192,-0.3296696321698409,-0.3388589859024569,-0.3386039630796192,-0.20049077136455778,-0.377555597708125,-0.25758574193557343,-0.4568584271314217
room,20,llff,84,4,-0.4095687792318509,-0.39474565944766626,-0.38885401979912226,-0.4095687792318509,-0.26103067733117347,-0.5086261690126137,-0.37423478677449984,-0.5245617862989698
room,25,llff,64,4,-0.6609767973514707,-0.6580134508729709,-0.546194240320641,-0.6609767973514707,-0.17912087912087912,-0.4826062659260656,-0.3794688212664649,-0.5273515389913233
trex,10,llff,495,11,-0.4189131109607609,-0.41967031383698494,-0.14447584305234823,-0.4189131109607609,-0.028160632800984645,-0.45808820853094284,-0.4347430870909107,-0.38375539770721645
trex,15,llff,160,4,-0.49162255938212773,-0.49401632329300105,-0.11310284226861315,-0.49162255938212773,-0.13014473221610218,-0.3958087192218549,-0.3783231058307045,-0.317290077793195
trex,20,llff,140,4,-0.4968727197120378,-0.4983084231318394,-0.250921501448451,-0.4968727197120378,-0.26960704992237217,-0.33242323376746624,-0.23488645788692294,-0.39876352242273516
trex,25,llff,120,4,-0.2485925768420663,-0.23453864079458422,-0.20640902080400553,-0.2485925768420663,-0.16531703590527116,-0.19697232949210242,-0.10785759143178904,-0.255649597227255
